Kuwait,KWT,227.6148709,232.1722222
Latin America & Caribbean (excluding high income),LAC,31.71861424,32.02146146
Lao PDR,LAO,30.12580156,30.59578423
Lebanon,LBN,665.8722385,669.4941349
Liberia,LBR,48.81881229,50.03090739
Libya,LBY,3.740025234,3.795632381
St. Lucia,LCA,296.647541,298.1786885
Latin America & Caribbean,LCN,31.70622088,32.00573092
Least developed countries: UN classification,LDC,55.52974147,56.8413289
Low income,LIC,50.35754873,51.67373831
Liechtenstein,LIE,236.25,236.9375
Sri Lanka,LKA,341.9550311,345.558922
Lower middle income,LMC,147.9824649,150.0401695
Low & middle income,LMY,68.38544298,69.23235139
Lesotho,LSO,68.88708827,69.43781291
Late-demographic dividend,LTE,51.11355084,51.38983784
Lithuania,LTU,45.15186156,44.72307577
Luxembourg,LUX,245.4057613,250.1851852
Latvia,LVA,31.23589579,30.99347057
"Macao SAR, China",MAC,20479.76999,20777.50026
St. Martin (French part),MAF,672.0588235,
Morocco,MAR,79.72505938,80.72851893
Monaco,MCO,19196,
Moldova,MDA,123.6352109,123.5198035
Madagascar,MDG,43.95073909,45.13985562
Maldives,MDV,1654.673333,1718.986667
Middle East & North Africa,MEA,39.31541591,39.99771182
Mexico,MEX,64.18751717,64.91462641
Marshall Islands,MHL,322.5444444,324.5166667
Middle income,MIC,71.5182365,72.2840186
North Macedonia,MKD,82.55337034,82.59151467
Mali,MLI,15.17173063,15.63501586
Malta,MLT,1462.496875,1514.46875
Myanmar,MMR,81.73972714,82.23861548
Middle East & North Africa (excluding high income),MNA,43.57631292,44.31116946
Montenegro,MNE,46.2730855,46.26223048
Mongolia,MNG,2.004286284,2.040608667
Northern Mariana Islands,MNP,122.9608696,123.6565217
Mozambique,MOZ,36.43150512,37.50853531
Mauritania,MRT,4.155015038,4.272163578
Mauritius,MUS,622.962069,623.3019704
Malawi,MWI,187.4232075,192.4407616
Malaysia,MYS,94.67365089,95.96282149
North America,NAC,19.82309364,19.944606
Namibia,NAM,2.91829489,2.973745582
New Caledonia,NCL,15.33643326,15.53938731
Niger,NER,17.05413436,17.71765059
Nigeria,NGA,209.5735597,215.064989
Nicaragua,NIC,53.05679741,53.72704836
Netherlands,NLD,508.4979519,511.4759276
Norway,NOR,14.45257595,14.54829163
Nepal,NPL,192.7249669,195.9391071
Nauru,NRU,643.8,635.2
New Zealand,NZL,18.20629676,18.38517337
OECD members,OED,37.58976569,37.793841
Oman,OMN,15.0757189,15.6041454
Other small states,OSS,14.83830039,15.13921784
Pakistan,PAK,269.6874818,275.2893187
Panama,PAN,55.24308582,56.18607748
Peru,PER,24.56585703,24.99160625
Philippines,PHL,352.7291948,357.6883053
Palau,PLW,38.71304348,38.92826087
Papua New Guinea,PNG,18.63275405,19.00436338
Poland,POL,124.0237304,124.0234822
Pre-demographic dividend,PRE,50.28364036,51.68744002
Puerto Rico,PRI,374.8591883,360.2201804
"Korea, Dem. People’s Rep.",PRK,211.1949589,212.1901752
Portugal,PRT,112.4418211,112.2619412
Paraguay,PRY,17.28432419,17.50835892
West Bank and Gaza,PSE,740.0008306,758.9845515
Pacific island small states,PSS,37.72719626,38.27674455
Post-demographic dividend,PST,35.13325273,35.25027213
French Polynesia,PYF,75.43797814,75.86857923
Qatar,QAT,234.687683,239.5931955
Romania,ROU,85.13339273,84.60598487
Russian Federation,RUS,8.823220799,8.822079555
Rwanda,RWA,485.648034,498.6598703
South Asia,SAS,375.7301755,380.2471337
Saudi Arabia,SAU,15.39717215,15.67665431
Singapore,SEN,80.08819924,82.34747832
Solomon Islands,SGP,7915.730436,7952.998418
Sierra Leone,SLB,22.72375849,23.32468739
El Salvador,SLE,103.7466196,105.987171
San Marino,SLV,308.3070463,309.8814672
Somalia,SMR,561.1833333,563.0833333
Serbia,SOM,23.25552173,23.9234769
Sub-Saharan Africa (excluding high income),SRB,80.27507432,79.8376858
Sub-Saharan Africa,SSA,49.43332657,50.75862834
Small states,SSF,49.43676797,50.76208431
Sao Tome and Principe,SST,15.94878109,16.22495145
Suriname,STP,215.7177083,219.8208333
Slovak Republic,SUR,3.657025641,3.69225
Slovenia,SVK,113.1287854,113.2855865
Sweden,SVN,102.5910064,102.9636605
Eswatini,SWE,24.69298078,24.98149812
Seychelles,SWZ,65.39261628,66.05761628
Syrian Arab Republic,SYC,208.3543478,210.3521739
Turks and Caicos Islands,SYR,92.94778631,92.06710777
Chad,TCA,39.06842105,39.64736842
East Asia & Pacific (IDA & IBRD countries),TCD,11.92564565,12.29173364
Europe & Central Asia (IDA & IBRD countries),TEA,129.3384787,130.185453
Togo,TEC,19.88382316,19.97992233
Thailand,TGO,141.5421033,145.0467733
Tajikistan,THA,135.4691969,135.8972068
Turkmenistan,TJK,63.98348584,65.57271417
Latin America & the Caribbean (IDA & IBRD countries),TKM,12.25218437,12.45059477
Timor-Leste,TLA,31.10734611,31.41414444
Middle East & North Africa (IDA & IBRD countries),TLS,83.60867518,85.27047747
Tonga,TMN,43.09079554,43.81292975
South Asia (IDA & IBRD),TON,141.6638889,143.3291667
Sub-Saharan Africa (IDA & IBRD countries),TSA,375.7301755,380.2471337
Trinidad and Tobago,TSS,49.43676797,50.76208431
Tunisia,TTO,269.7996101,270.9274854
Turkey,TUN,73.59322219,74.44132338
Tuvalu,TUR,105.3777685,106.9601289
Tanzania,TUV,379,383.6
Uganda,TZA,61.71134116,63.5790788
Ukraine,UGA,205.2786006,213.0617345
Upper middle income,UKR,77.38979613,77.02966735
Uruguay,UMC,45.15351056,45.4688426
United States,URY,19.63573306,19.70802765
Uzbekistan,USA,35.52756285,35.71362209
St. Vincent and the Grenadines,UZB,76.13681241,77.46920545
"Venezuela, RB",VCT,281.6076923,282.5897436
British Virgin Islands,VEN,33.32057026,32.73079191
Virgin Islands (U.S.),VGB,197.18,198.68
Vietnam,VIR,306.48,305.6485714
Vanuatu,VNM,305.0815687,308.1252459
World,VUT,23.4216571,24.00984413
Samoa,WLD,58.96866824,59.62537145
Kosovo,WSM,69.02897527,69.30388693
"Yemen, Rep.",XKX,168.1546799,
South Africa,YEM,52.7204595,53.97785291
Zambia,ZAF,46.98781706,47.63011978
Zimbabwe,ZMB,22.67139456,23.3414789
,ZWE,36.80171901,37.32459093
