Panama,PAN,11.40005433
Peru,PER,24.78672805
Philippines,PHL,18.06979891
Palau,PLW,
Papua New Guinea,PNG,12.29441826
Poland,POL,20.87782222
Pre-demographic dividend,PRE,48.63789115
Puerto Rico,PRI,8.349033339
"Korea, Dem. People’s Rep.",PRK,32.00745162
Portugal,PRT,8.160752248
Paraguay,PRY,11.90908085
West Bank and Gaza,PSE,33.22563038
Pacific island small states,PSS,11.2676414
Post-demographic dividend,PST,11.59308645
Qatar,QAT,91.18732793
Romania,ROU,14.61134019
Russian Federation,RUS,16.16022381
Rwanda,RWA,43.21021716
South Asia,SAS,82.86952124
Saudi Arabia,SAU,87.94544668
Sudan,SDN,55.37083444
Senegal,SEN,40.6958259
Singapore,SGP,19.0782565
Solomon Islands,SLB,11.87912184
Sierra Leone,SLE,21.62594668
El Salvador,SLV,24.47229229
Somalia,SOM,32.03458423
Serbia,SRB,24.72635819
Sub-Saharan Africa (excluding high income),SSA,44.6043324
South Sudan,SSD,45.57750557
Sub-Saharan Africa,SSF,44.60209591
Small states,SST,30.47224611
Sao Tome and Principe,STP,28.53958436
Suriname,SUR,24.78001054
Slovak Republic,SVK,17.56291134
Slovenia,SVN,16.02397998
Sweden,SWE,6.18466509
Eswatini,SWZ,17.16878731
Seychelles,SYC,20.17864936
Syrian Arab Republic,SYR,43.75725947
Chad,TCD,66.0292055
East Asia & Pacific (IDA & IBRD countries),TEA,42.67140529
Europe & Central Asia (IDA & IBRD countries),TEC,24.09234777
Togo,TGO,35.73133561
Thailand,THA,26.25672656
Tajikistan,TJK,46.15218537
Turkmenistan,TKM,21.76772098
Latin America & the Caribbean (IDA & IBRD countries),TLA,16.7060344
Timor-Leste,TLS,19.25720917
Middle East & North Africa (IDA & IBRD countries),TMN,54.10477709
Tonga,TON,10.78547886
South Asia (IDA & IBRD),TSA,82.86952124
Sub-Saharan Africa (IDA & IBRD countries),TSS,44.60209591
Trinidad and Tobago,TTO,24.10856843
Tunisia,TUN,37.65599375
Turkey,TUR,44.31152568
Tanzania,TZA,29.07664051
Uganda,UGA,50.49432132
Ukraine,UKR,20.30977582
Upper middle income,UMC,38.74828544
Uruguay,URY,9.27488332
United States,USA,7.409441662
Uzbekistan,UZB,28.4559012
St. Vincent and the Grenadines,VCT,22.20051632
"Venezuela, RB",VEN,17.00855357
Virgin Islands (U.S.),VIR,10.26531228
Vietnam,VNM,29.62672834
Vanuatu,VUT,11.65277703
World,WLD,45.52605077
Samoa,WSM,11.54802701
"Yemen, Rep.",YEM,50.45600689
South Africa,ZAF,25.10220499
Zambia,ZMB,27.43803476
Zimbabwe,ZWE,22.25167109
